movie_name,title_year,genres,duration,director_name,movie_imdb_link,content_rating,imdb_score,num_voted_users,num_user_for_reviews
Beer League,2006,Comedy|Sport,86,Frank Sebastiano,http://www.imdb.com/title/tt0453453/?ref_=fn_tt_tt_1,R,6,6930,53
Beerfest,2006,Comedy,110,Jay Chandrasekhar,http://www.imdb.com/title/tt0486551/?ref_=fn_tt_tt_1,R,6.3,54710,177
Beetlejuice,1988,Comedy|Fantasy,92,Tim Burton,http://www.imdb.com/title/tt0094721/?ref_=fn_tt_tt_1,PG,7.5,189413,306
Before I Go to Sleep,2014,Drama|Mystery|Thriller,92,Rowan Joffe,http://www.imdb.com/title/tt1726592/?ref_=fn_tt_tt_1,R,6.3,48873,105
Before Midnight,2013,Drama|Romance,109,Richard Linklater,http://www.imdb.com/title/tt2209418/?ref_=fn_tt_tt_1,R,7.9,95362,270
Before Sunrise,1995,Drama|Romance,105,Richard Linklater,http://www.imdb.com/title/tt0112471/?ref_=fn_tt_tt_1,R,8.1,183288,395
Before Sunset,2004,Drama|Romance,80,Richard Linklater,http://www.imdb.com/title/tt0381681/?ref_=fn_tt_tt_1,R,8,168398,492
Begin Again,2013,Drama|Music,104,John Carney,http://www.imdb.com/title/tt1980929/?ref_=fn_tt_tt_1,R,7.4,99430,182
Beginners,2010,Comedy|Drama|Romance,105,Mike Mills,http://www.imdb.com/title/tt1532503/?ref_=fn_tt_tt_1,R,7.2,73349,142
Behind Enemy Lines,2001,Action|Drama|Thriller|War,106,John Moore,http://www.imdb.com/title/tt0159273/?ref_=fn_tt_tt_1,PG-13,6.4,86902,411
Being John Malkovich,1999,Comedy|Drama|Fantasy,112,Spike Jonze,http://www.imdb.com/title/tt0120601/?ref_=fn_tt_tt_1,R,7.8,254404,840
Being Julia,2004,Comedy|Drama|Romance,104,István Szabó,http://www.imdb.com/title/tt0340012/?ref_=fn_tt_tt_1,R,7.1,10680,112
Bella,2006,Drama|Romance,91,Alejandro Monteverde,http://www.imdb.com/title/tt0482463/?ref_=fn_tt_tt_1,PG-13,7.4,9607,174
Beloved,1998,Drama|History|Horror,172,Jonathan Demme,http://www.imdb.com/title/tt0120603/?ref_=fn_tt_tt_1,R,5.9,6082,207
Below Zero,2011,Thriller,99,Justin Thomas Ostensen,http://www.imdb.com/title/tt1641388/?ref_=fn_tt_tt_1,R,4.5,652,11
Ben-Hur,2016,Adventure|Drama|History,141,Timur Bekmambetov,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,PG-13,6,67,1
Bend It Like Beckham,2002,Comedy|Drama|Romance|Sport,112,Gurinder Chadha,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,PG-13,6.7,89806,438
Bending Steel,2013,Documentary,92,Dave Carroll,http://www.imdb.com/title/tt2181837/?ref_=fn_tt_tt_1,,7.9,53,10
Beneath Hill 60,2010,Drama|History|War,122,Jeremy Sims,http://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1,R,7.1,5741,39
Beneath the Planet of the Apes,1970,Action|Adventure|Sci-Fi,95,Ted Post,http://www.imdb.com/title/tt0065462/?ref_=fn_tt_tt_1,G,6.1,32378,150
Benji,1974,Adventure|Family|Romance,86,Joe Camp,http://www.imdb.com/title/tt0071206/?ref_=fn_tt_tt_1,G,6.1,3411,36
Beowulf,2007,Action|Adventure|Animation|Fantasy,115,Robert Zemeckis,http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1,PG-13,6.3,142440,505
Bernie,2011,Comedy|Crime|Drama,99,Richard Linklater,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,PG-13,6.8,45396,136
Best in Show,2000,Comedy,90,Christopher Guest,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,PG-13,7.5,45859,340
Better Luck Tomorrow,2002,Crime|Drama|Romance,98,Justin Lin,http://www.imdb.com/title/tt0280477/?ref_=fn_tt_tt_1,R,7.2,8000,138
Beverly Hills Chihuahua,2008,Adventure|Comedy|Drama|Family|Romance,91,Raja Gosnell,http://www.imdb.com/title/tt1014775/?ref_=fn_tt_tt_1,PG,3.7,17829,99
Beverly Hills Cop III,1994,Action|Comedy|Crime|Thriller,104,John Landis,http://www.imdb.com/title/tt0109254/?ref_=fn_tt_tt_1,R,5.5,60293,114
Beverly Hills Cop II,1987,Action|Comedy|Crime|Thriller,100,Tony Scott,http://www.imdb.com/title/tt0092644/?ref_=fn_tt_tt_1,R,6.4,84824,95
Beverly Hills Cop,1984,Action|Comedy|Crime,105,Martin Brest,http://www.imdb.com/title/tt0086960/?ref_=fn_tt_tt_1,R,7.3,126464,175
Bewitched,,Comedy|Family|Fantasy,25,,http://www.imdb.com/title/tt0057733/?ref_=fn_tt_tt_1,TV-G,7.6,11427,71
Beyond Borders,2003,Adventure|Drama|Romance|War,127,Martin Campbell,http://www.imdb.com/title/tt0294357/?ref_=fn_tt_tt_1,R,6.5,22570,156
Beyond the Black Rainbow,2010,Sci-Fi|Thriller,110,Panos Cosmatos,http://www.imdb.com/title/tt1534085/?ref_=fn_tt_tt_1,R,6.1,6555,82
Beyond the Lights,2014,Drama|Music,116,Gina Prince-Bythewood,http://www.imdb.com/title/tt3125324/?ref_=fn_tt_tt_1,PG-13,6.9,11191,37
Beyond the Mat,1999,Biography|Documentary|Sport,108,Barry W. Blaustein,http://www.imdb.com/title/tt0218043/?ref_=fn_tt_tt_1,R,7.6,6790,80
Beyond the Sea,2004,Biography|Drama|Music|Musical,118,Kevin Spacey,http://www.imdb.com/title/tt0363473/?ref_=fn_tt_tt_1,PG-13,6.7,12821,248
Beyond the Valley of the Dolls,1970,Comedy|Drama|Music,109,Russ Meyer,http://www.imdb.com/title/tt0065466/?ref_=fn_tt_tt_1,X,6.2,7584,137
Bicentennial Man,1999,Comedy|Drama|Sci-Fi,132,Chris Columbus,http://www.imdb.com/title/tt0182789/?ref_=fn_tt_tt_1,PG,6.8,87785,362
Big Daddy,1999,Comedy|Drama,93,Dennis Dugan,http://www.imdb.com/title/tt0142342/?ref_=fn_tt_tt_1,PG-13,6.4,161858,289
Big Eyes,2014,Biography|Crime|Drama|Romance,106,Tim Burton,http://www.imdb.com/title/tt1126590/?ref_=fn_tt_tt_1,PG-13,7,55539,147
Big Fat Liar,2002,Adventure|Comedy|Family,88,Shawn Levy,http://www.imdb.com/title/tt0265298/?ref_=fn_tt_tt_1,PG,5.4,29008,99
Big Fish,2003,Adventure|Drama|Fantasy,125,Tim Burton,http://www.imdb.com/title/tt0319061/?ref_=fn_tt_tt_1,PG-13,8,350698,816
Big Hero 6,2014,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,102,Don Hall,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,PG,7.9,279093,433
Big Miracle,2012,Biography|Drama|Romance,107,Ken Kwapis,http://www.imdb.com/title/tt1430615/?ref_=fn_tt_tt_1,PG,6.5,15231,66
Big Momma's House 2,2006,Comedy|Crime,99,John Whitesell,http://www.imdb.com/title/tt0421729/?ref_=fn_tt_tt_1,PG-13,4.6,31968,82
Big Momma's House,2000,Action|Comedy|Crime,99,Raja Gosnell,http://www.imdb.com/title/tt0208003/?ref_=fn_tt_tt_1,PG-13,5.1,66941,148
"Big Mommas: Like Father, Like Son",2011,Action|Comedy|Crime,113,John Whitesell,http://www.imdb.com/title/tt1464174/?ref_=fn_tt_tt_1,PG-13,4.4,19671,47
Big Trouble in Little China,1986,Action|Adventure|Comedy|Fantasy,99,John Carpenter,http://www.imdb.com/title/tt0090728/?ref_=fn_tt_tt_1,PG-13,7.3,92464,331
Big Trouble,2002,Comedy|Crime|Thriller,74,Barry Sonnenfeld,http://www.imdb.com/title/tt0246464/?ref_=fn_tt_tt_1,PG-13,6.5,17307,186
Big,1988,Comedy|Drama|Family|Fantasy|Romance,130,Penny Marshall,http://www.imdb.com/title/tt0094737/?ref_=fn_tt_tt_1,PG,7.3,153468,204
Bill & Ted's Bogus Journey,1991,Adventure|Comedy|Fantasy|Music|Sci-Fi,93,Peter Hewitt,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,PG,6.2,49680,117
Bill & Ted's Excellent Adventure,1989,Adventure|Comedy|Music|Sci-Fi,90,Stephen Herek,http://www.imdb.com/title/tt0096928/?ref_=fn_tt_tt_1,PG,6.9,85362,181
Billy Elliot,2000,Drama|Music,110,Stephen Daldry,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,R,7.7,98354,433
Birdman or (The Unexpected Virtue of Ignorance),2014,Comedy|Drama|Romance,119,Alejandro G. Iñárritu,http://www.imdb.com/title/tt2562232/?ref_=fn_tt_tt_1,R,7.8,395087,1101
Birthday Girl,2001,Comedy|Crime|Thriller,93,Jez Butterworth,http://www.imdb.com/title/tt0188453/?ref_=fn_tt_tt_1,R,6.1,21530,159
Birth,2004,Drama|Mystery|Romance|Thriller,100,Jonathan Glazer,http://www.imdb.com/title/tt0337876/?ref_=fn_tt_tt_1,R,6.1,29649,361
Bizarre,2015,Drama|Musical|Romance,98,Étienne Faure,http://www.imdb.com/title/tt3904272/?ref_=fn_tt_tt_1,Unrated,4.3,569,1
Black Christmas,2006,Horror,94,Glen Morgan,http://www.imdb.com/title/tt0454082/?ref_=fn_tt_tt_1,R,4.5,19918,278
Black Hawk Down,2001,Drama|History|War,152,Ridley Scott,http://www.imdb.com/title/tt0265086/?ref_=fn_tt_tt_1,R,7.7,292022,1103
Black Knight,2001,Adventure|Comedy|Fantasy,95,Gil Junger,http://www.imdb.com/title/tt0265087/?ref_=fn_tt_tt_1,PG-13,4.8,30771,164
Black Mass,2015,Biography|Crime|Drama,123,Scott Cooper,http://www.imdb.com/title/tt1355683/?ref_=fn_tt_tt_1,R,7,115216,289
Black Nativity,2013,Drama|Family|Music|Musical,93,Kasi Lemmons,http://www.imdb.com/title/tt1425922/?ref_=fn_tt_tt_1,PG,4.4,1633,17
Black November,2012,Action|Crime|Drama|Thriller,95,Jeta Amata,http://www.imdb.com/title/tt2147225/?ref_=fn_tt_tt_1,,5.6,385,4
Black Rain,1989,Action|Crime|Thriller,125,Ridley Scott,http://www.imdb.com/title/tt0096933/?ref_=fn_tt_tt_1,R,6.6,39306,119
Black Rock,2012,Horror|Thriller,83,Katie Aselton,http://www.imdb.com/title/tt1930294/?ref_=fn_tt_tt_1,R,4.7,6531,47
Black Snake Moan,2006,Drama|Music,116,Craig Brewer,http://www.imdb.com/title/tt0462200/?ref_=fn_tt_tt_1,R,7,52421,200
Black Swan,2010,Drama|Thriller,108,Darren Aronofsky,http://www.imdb.com/title/tt0947798/?ref_=fn_tt_tt_1,R,8,551363,1140
Black Water Transit,2009,Crime|Drama,,Tony Kaye,http://www.imdb.com/title/tt0490087/?ref_=fn_tt_tt_1,,7.2,219,
Black or White,2014,Drama,121,Mike Binder,http://www.imdb.com/title/tt2883434/?ref_=fn_tt_tt_1,PG-13,6.6,8058,57
Blackhat,2015,Action|Crime|Drama|Mystery|Thriller,133,Michael Mann,http://www.imdb.com/title/tt2717822/?ref_=fn_tt_tt_1,R,5.4,38983,207
Blackthorn,2011,Action|Adventure|Western,102,Mateo Gil,http://www.imdb.com/title/tt1629705/?ref_=fn_tt_tt_1,R,6.6,7390,40
Blade II,2002,Action|Horror|Sci-Fi|Thriller,117,Guillermo del Toro,http://www.imdb.com/title/tt0187738/?ref_=fn_tt_tt_1,R,6.7,158267,559
Blade Runner,1982,Sci-Fi|Thriller,117,Ridley Scott,http://www.imdb.com/title/tt0083658/?ref_=fn_tt_tt_1,R,8.2,461609,1168
Blade: Trinity,2004,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,122,David S. Goyer,http://www.imdb.com/title/tt0359013/?ref_=fn_tt_tt_1,R,5.9,132954,514
Blades of Glory,2007,Comedy|Sport,93,Josh Gordon,http://www.imdb.com/title/tt0445934/?ref_=fn_tt_tt_1,PG-13,6.3,129995,246
Blade,1998,Action|Horror,110,Stephen Norrington,http://www.imdb.com/title/tt0120611/?ref_=fn_tt_tt_1,R,7.1,191437,582
Blast from the Past,1999,Comedy|Drama|Romance|Sci-Fi,112,Hugh Wilson,http://www.imdb.com/title/tt0124298/?ref_=fn_tt_tt_1,PG-13,6.6,48621,239
Blazing Saddles,1974,Comedy|Western,93,Mel Brooks,http://www.imdb.com/title/tt0071230/?ref_=fn_tt_tt_1,R,7.8,95294,363
Bled,2009,Horror,95,Christopher Hutson,http://www.imdb.com/title/tt0997143/?ref_=fn_tt_tt_1,R,3.1,851,30
Bleeding Hearts,2015,Horror,100,Dylan Bank,http://www.imdb.com/title/tt2622294/?ref_=fn_tt_tt_1,,4.2,71,2
Blended,2014,Comedy|Romance,117,Frank Coraci,http://www.imdb.com/title/tt1086772/?ref_=fn_tt_tt_1,PG-13,6.5,87165,184
Bless the Child,2000,Crime|Drama|Horror|Thriller,107,Chuck Russell,http://www.imdb.com/title/tt0163983/?ref_=fn_tt_tt_1,R,5.1,12093,188
Blindness,2008,Drama|Mystery|Sci-Fi|Thriller,121,Fernando Meirelles,http://www.imdb.com/title/tt0861689/?ref_=fn_tt_tt_1,R,6.6,59462,300
Blonde Ambition,2007,Comedy|Romance,93,Scott Marshall,http://www.imdb.com/title/tt0887719/?ref_=fn_tt_tt_1,PG-13,3.9,4995,34
Blood Diamond,2006,Adventure|Drama|Thriller,143,Edward Zwick,http://www.imdb.com/title/tt0450259/?ref_=fn_tt_tt_1,R,8,400292,657
Blood Done Sign My Name,2010,Drama,128,Jeb Stuart,http://www.imdb.com/title/tt1210039/?ref_=fn_tt_tt_1,PG-13,6.7,465,3
"Blood In, Blood Out",1993,Crime|Drama,330,Taylor Hackford,http://www.imdb.com/title/tt0106469/?ref_=fn_tt_tt_1,R,8,23181,129
Blood Ties,2013,Crime|Drama|Thriller,144,Guillaume Canet,http://www.imdb.com/title/tt1747958/?ref_=fn_tt_tt_1,R,6.5,14612,41
Blood Work,2002,Action|Crime|Drama|Mystery|Thriller,110,Clint Eastwood,http://www.imdb.com/title/tt0309377/?ref_=fn_tt_tt_1,R,6.4,34356,260
Blood and Chocolate,2007,Drama|Fantasy|Horror|Romance,98,Katja von Garnier,http://www.imdb.com/title/tt0397044/?ref_=fn_tt_tt_1,PG-13,5.5,15388,190
Blood and Wine,1996,Crime|Drama|Thriller,101,Bob Rafelson,http://www.imdb.com/title/tt0115710/?ref_=fn_tt_tt_1,R,6.1,7772,55
BloodRayne,2005,Action|Adventure|Fantasy|Horror,92,Uwe Boll,http://www.imdb.com/title/tt0383222/?ref_=fn_tt_tt_1,R,2.9,30628,471
Bloodsport,1988,Action|Biography|Drama|Sport,92,Newt Arnold,http://www.imdb.com/title/tt0092675/?ref_=fn_tt_tt_1,R,6.8,57578,210
Bloody Sunday,2002,Drama|History|War,107,Paul Greengrass,http://www.imdb.com/title/tt0280491/?ref_=fn_tt_tt_1,R,7.7,19732,120
Blow Out,1981,Mystery|Thriller,107,Brian De Palma,http://www.imdb.com/title/tt0082085/?ref_=fn_tt_tt_1,R,7.4,27629,149
Blow,2001,Biography|Crime|Drama,124,Ted Demme,http://www.imdb.com/title/tt0221027/?ref_=fn_tt_tt_1,R,7.6,198066,426
Blue Car,2002,Drama,88,Karen Moncrieff,http://www.imdb.com/title/tt0290145/?ref_=fn_tt_tt_1,R,6.7,3142,68
Blue Crush,2002,Drama|Romance|Sport,104,John Stockwell,http://www.imdb.com/title/tt0300532/?ref_=fn_tt_tt_1,PG-13,5.6,26066,216
Blue Jasmine,2013,Drama,98,Woody Allen,http://www.imdb.com/title/tt2334873/?ref_=fn_tt_tt_1,PG-13,7.3,150082,384
Blue Like Jazz,2012,Comedy|Drama,108,Steve Taylor,http://www.imdb.com/title/tt1758575/?ref_=fn_tt_tt_1,PG-13,6,2582,89
Blue Ruin,2013,Crime|Drama|Thriller,90,Jeremy Saulnier,http://www.imdb.com/title/tt2359024/?ref_=fn_tt_tt_1,R,7.1,42678,135
Blue Streak,1999,Action|Comedy|Crime|Thriller,93,Les Mayfield,http://www.imdb.com/title/tt0181316/?ref_=fn_tt_tt_1,PG-13,6.3,60572,144
Blue Valentine,2010,Drama|Romance,112,Derek Cianfrance,http://www.imdb.com/title/tt1120985/?ref_=fn_tt_tt_1,R,7.4,141425,283
Boat Trip,2002,Comedy,97,Mort Nathan,http://www.imdb.com/title/tt0285462/?ref_=fn_tt_tt_1,R,4.9,26598,132
Bobby Jones: Stroke of Genius,2004,Biography|Drama|Romance|Sport,128,Rowdy Herrington,http://www.imdb.com/title/tt0375104/?ref_=fn_tt_tt_1,PG,6.7,3222,64
Bobby,2006,Drama|History,112,Emilio Estevez,http://www.imdb.com/title/tt0308055/?ref_=fn_tt_tt_1,R,7,38142,270
Body Double,1984,Mystery|Thriller,114,Brian De Palma,http://www.imdb.com/title/tt0086984/?ref_=fn_tt_tt_1,R,6.8,20113,178
Body of Lies,2008,Action|Drama|Thriller,128,Ridley Scott,http://www.imdb.com/title/tt0758774/?ref_=fn_tt_tt_1,R,7.1,174248,263
Bogus,1996,Comedy|Family|Fantasy,110,Norman Jewison,http://www.imdb.com/title/tt0115725/?ref_=fn_tt_tt_1,PG,5.3,5176,30
Boiler Room,2000,Crime|Drama|Thriller,120,Ben Younger,http://www.imdb.com/title/tt0181984/?ref_=fn_tt_tt_1,R,7,41313,246
Bolt,2008,Adventure|Animation|Comedy|Drama|Family,96,Byron Howard,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1,PG,6.9,146766,178
Bon Cop Bad Cop,2006,Action|Comedy|Crime|Thriller,116,Erik Canuel,http://www.imdb.com/title/tt0479647/?ref_=fn_tt_tt_1,R,7,8616,90
Bones,,Comedy|Crime|Drama|Mystery|Romance,40,,http://www.imdb.com/title/tt0460627/?ref_=fn_tt_tt_1,TV-14,7.9,111506,173
Boogeyman,2005,Drama|Horror|Mystery|Thriller,89,Stephen Kay,http://www.imdb.com/title/tt0357507/?ref_=fn_tt_tt_1,PG-13,4.1,25960,389
Boogie Nights,1997,Drama,155,Paul Thomas Anderson,http://www.imdb.com/title/tt0118749/?ref_=fn_tt_tt_1,R,7.9,189032,560
Book of Shadows: Blair Witch 2,2000,Adventure|Fantasy|Horror|Mystery|Thriller,90,Joe Berlinger,http://www.imdb.com/title/tt0229260/?ref_=fn_tt_tt_1,R,4,28964,457
Boom Town,1940,Adventure|Drama|Romance|Western,119,Jack Conway,http://www.imdb.com/title/tt0032273/?ref_=fn_tt_tt_1,Passed,7.1,2269,34
Boomerang,1992,Comedy|Drama|Romance,117,Reginald Hudlin,http://www.imdb.com/title/tt0103859/?ref_=fn_tt_tt_1,R,5.4,20183,41
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Comedy,82,Larry Charles,http://www.imdb.com/title/tt0443453/?ref_=fn_tt_tt_1,R,7.3,297014,1198
Born of War,2014,Action|Drama|Thriller|War,109,Vicky Jewson,http://www.imdb.com/title/tt1554921/?ref_=fn_tt_tt_1,R,4.4,237,3
Born on the Fourth of July,1989,Biography|Drama|War,145,Oliver Stone,http://www.imdb.com/title/tt0096969/?ref_=fn_tt_tt_1,R,7.2,76842,173
Born to Fly: Elizabeth Streb vs. Gravity,2014,Action|Biography|Documentary|Sport,82,Catherine Gund,http://www.imdb.com/title/tt2246526/?ref_=fn_tt_tt_1,,6.8,40,10
Bottle Rocket,1996,Comedy|Crime|Drama,91,Wes Anderson,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1,R,7.1,54478,184
Bottle Shock,2008,Comedy|Drama,110,Randall Miller,http://www.imdb.com/title/tt0914797/?ref_=fn_tt_tt_1,PG-13,6.8,12233,89
Bound,1996,Crime|Drama|Romance|Thriller,109,Lana Wachowski,http://www.imdb.com/title/tt0115736/?ref_=fn_tt_tt_1,R,7.4,41138,208
Bowfinger,1999,Comedy,85,Frank Oz,http://www.imdb.com/title/tt0131325/?ref_=fn_tt_tt_1,PG-13,6.4,56874,358
Bowling for Columbine,2002,Crime|Documentary|Drama,120,Michael Moore,http://www.imdb.com/title/tt0310793/?ref_=fn_tt_tt_1,R,8,123090,888
Boyhood,2014,Drama,165,Richard Linklater,http://www.imdb.com/title/tt1065073/?ref_=fn_tt_tt_1,R,8,266020,836
Boynton Beach Club,2005,Comedy|Romance,105,Susan Seidelman,http://www.imdb.com/title/tt0439478/?ref_=fn_tt_tt_1,R,6.5,746,27
Boys Don't Cry,1999,Biography|Crime|Drama|Romance,118,Kimberly Peirce,http://www.imdb.com/title/tt0171804/?ref_=fn_tt_tt_1,R,7.6,77551,434
Boys and Girls,2000,Comedy|Drama|Romance,94,Robert Iscove,http://www.imdb.com/title/tt0204175/?ref_=fn_tt_tt_1,PG-13,5.3,13661,134
Boyz n the Hood,1991,Crime|Drama,112,John Singleton,http://www.imdb.com/title/tt0101507/?ref_=fn_tt_tt_1,R,7.8,94139,183
BrainDead,,Comedy|Drama|Horror|Sci-Fi|Thriller,44,,http://www.imdb.com/title/tt4877736/?ref_=fn_tt_tt_1,,7.9,2948,28
Bram Stoker's Dracula,1992,Fantasy|Horror|Romance,155,Francis Ford Coppola,http://www.imdb.com/title/tt0103874/?ref_=fn_tt_tt_1,R,7.5,143835,654
Bran Nue Dae,2009,Comedy|Drama|Musical,88,Rachel Perkins,http://www.imdb.com/title/tt1148165/?ref_=fn_tt_tt_1,PG-13,6.3,1388,31
Brave New Girl,2004,Drama|Family|Music,120,Bobby Roth,http://www.imdb.com/title/tt0403118/?ref_=fn_tt_tt_1,PG-13,5,758,27
Braveheart,1995,Biography|Drama|History|War,178,Mel Gibson,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,R,8.4,736638,1065
Brave,2012,Adventure|Animation|Comedy|Family|Fantasy,93,Mark Andrews,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,PG,7.2,273556,428
Brazil,1985,Drama|Sci-Fi,142,Terry Gilliam,http://www.imdb.com/title/tt0088846/?ref_=fn_tt_tt_1,R,8,152306,513
Breakdown,1997,Action|Crime|Drama|Mystery|Thriller,93,Jonathan Mostow,http://www.imdb.com/title/tt0118771/?ref_=fn_tt_tt_1,R,6.9,38399,218
Breakfast of Champions,1999,Comedy,110,Alan Rudolph,http://www.imdb.com/title/tt0120618/?ref_=fn_tt_tt_1,R,4.6,6884,133
Breakin' All the Rules,2004,Comedy|Romance,85,Daniel Taplitz,http://www.imdb.com/title/tt0349169/?ref_=fn_tt_tt_1,PG-13,5.5,4247,26
Breaking Upwards,2009,Romance,88,Daryl Wein,http://www.imdb.com/title/tt1247644/?ref_=fn_tt_tt_1,,6.2,1194,8
Brick Lane,2007,Drama,101,Sarah Gavron,http://www.imdb.com/title/tt0940585/?ref_=fn_tt_tt_1,PG-13,6.7,2560,29
Brick Mansions,2014,Action|Crime|Drama|Thriller,100,Camille Delamarre,http://www.imdb.com/title/tt1430612/?ref_=fn_tt_tt_1,PG-13,5.7,32103,112
Bride & Prejudice,2004,Comedy|Drama|Musical|Romance,122,Gurinder Chadha,http://www.imdb.com/title/tt0361411/?ref_=fn_tt_tt_1,PG-13,6.2,17436,276
Bride Wars,2009,Comedy|Romance,89,Gary Winick,http://www.imdb.com/title/tt0901476/?ref_=fn_tt_tt_1,PG,5.4,79094,129
Bride of Chucky,1998,Comedy|Fantasy|Horror|Romance,89,Ronny Yu,http://www.imdb.com/title/tt0144120/?ref_=fn_tt_tt_1,R,5.3,39768,292
Bridesmaids,2011,Comedy|Romance,131,Paul Feig,http://www.imdb.com/title/tt1478338/?ref_=fn_tt_tt_1,R,6.8,218711,485
Bridge of Spies,2015,Drama|History|Thriller,142,Steven Spielberg,http://www.imdb.com/title/tt3682448/?ref_=fn_tt_tt_1,PG-13,7.6,178118,355
Bridge to Terabithia,2007,Adventure|Drama|Family|Fantasy,96,Gabor Csupo,http://www.imdb.com/title/tt0398808/?ref_=fn_tt_tt_1,PG,7.2,110390,522
Bridget Jones's Diary,2001,Comedy|Drama|Romance,97,Sharon Maguire,http://www.imdb.com/title/tt0243155/?ref_=fn_tt_tt_1,R,6.7,171568,571
Bridget Jones: The Edge of Reason,2004,Comedy|Drama|Romance,108,Beeban Kidron,http://www.imdb.com/title/tt0317198/?ref_=fn_tt_tt_1,R,5.9,74315,259
Brigham City,2001,Crime|Drama|Mystery,119,Richard Dutcher,http://www.imdb.com/title/tt0268200/?ref_=fn_tt_tt_1,PG-13,7.2,983,63
"Bright Lights, Big City",1988,Drama,107,James Bridges,http://www.imdb.com/title/tt0094799/?ref_=fn_tt_tt_1,R,5.6,5817,37
Bright Star,2009,Biography|Drama|Romance,119,Jane Campion,http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1,PG,7,21360,110
Brighton Rock,2010,Crime|Drama|Thriller,111,Rowan Joffe,http://www.imdb.com/title/tt1233192/?ref_=fn_tt_tt_1,R,5.7,5013,59
Bring It On,2000,Comedy|Sport,98,Peyton Reed,http://www.imdb.com/title/tt0204946/?ref_=fn_tt_tt_1,PG-13,5.9,70141,385
Bringing Down the House,2003,Comedy,105,Adam Shankman,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1,PG-13,5.5,30058,236
Bringing Out the Dead,1999,Drama|Thriller,121,Martin Scorsese,http://www.imdb.com/title/tt0163988/?ref_=fn_tt_tt_1,R,6.8,53028,382
Brokeback Mountain,2005,Drama|Romance,134,Ang Lee,http://www.imdb.com/title/tt0388795/?ref_=fn_tt_tt_1,R,7.7,259837,2254
Brokedown Palace,1999,Drama|Mystery|Thriller,100,Jonathan Kaplan,http://www.imdb.com/title/tt0120620/?ref_=fn_tt_tt_1,PG-13,6.4,18693,187
Broken Arrow,1996,Action|Crime|Thriller,108,John Woo,http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1,R,6,77390,189
Broken City,2013,Crime|Drama|Thriller,109,Allen Hughes,http://www.imdb.com/title/tt1235522/?ref_=fn_tt_tt_1,R,6.2,63548,134
Broken Horses,2015,Action|Crime|Drama|Mystery|Thriller,101,Vidhu Vinod Chopra,http://www.imdb.com/title/tt2503954/?ref_=fn_tt_tt_1,R,5.7,1554,20
Broken Vessels,1998,Drama,90,Scott Ziehl,http://www.imdb.com/title/tt0149964/?ref_=fn_tt_tt_1,R,6.6,531,19
Bronson,2008,Action|Biography|Crime|Drama,92,Nicolas Winding Refn,http://www.imdb.com/title/tt1172570/?ref_=fn_tt_tt_1,R,7.1,84817,145
Brooklyn Rules,2007,Crime|Drama,99,Michael Corrente,http://www.imdb.com/title/tt0283503/?ref_=fn_tt_tt_1,R,6.4,5049,48
Brooklyn's Finest,2009,Crime|Drama|Thriller,132,Antoine Fuqua,http://www.imdb.com/title/tt1210042/?ref_=fn_tt_tt_1,R,6.7,52852,138
Brooklyn,2015,Drama|Romance,111,John Crowley,http://www.imdb.com/title/tt2381111/?ref_=fn_tt_tt_1,PG-13,7.5,73249,212
Brotherly Love,2015,Drama,89,Jamal Hill,http://www.imdb.com/title/tt3262990/?ref_=fn_tt_tt_1,R,7.2,744,19
Brothers,2009,Drama|Thriller,105,Jim Sheridan,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,R,7.1,88035,201
Brother,2000,Crime|Drama|Thriller,114,Takeshi Kitano,http://www.imdb.com/title/tt0222851/?ref_=fn_tt_tt_1,R,7.2,18520,133
Brown Sugar,2002,Comedy|Drama|Music|Romance,109,Rick Famuyiwa,http://www.imdb.com/title/tt0297037/?ref_=fn_tt_tt_1,PG-13,6.5,5971,60
Bruce Almighty,2003,Comedy|Drama,101,Tom Shadyac,http://www.imdb.com/title/tt0315327/?ref_=fn_tt_tt_1,PG-13,6.7,296904,604
